Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,25.3133125403109,26.7725445474828,25.3970724507136,22.888423127076,20.6943999728206,20.236181204832,19.2945917999889,19.5092017486273,19.9197638252582,20.7069712699101,19.2521322530601,18.58148278564,17.0448821836819,14.4445173178555,14.815307814338,12.9561756357317,12.8748201478981,12.1105567409709,10.6341588117739,9.41630893438616,8.78179654079432,8.15349352920866,8.17136899699882,9.36226903673916
Singapore,SGP,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,2.2433622812432,2.28012049622953,2.28219532863713,1.93275888071748,1.81568011926413,1.4678045387655,1.42003513460266,1.57102206532049,1.70004945079825,1.94851468175773,1.9465575603306,2.10830666902203,2.11901274635539,2.29661794781508,2.5406062878486,2.83193431559398,2.88450723086603,2.60924760840291,3.24999451119718,3.52616390057449,3.43053772212103,3.15412785193949,2.86018527017739,2.87163688367206
Philippines,PHL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,4.76538063807209,5.57263515485844,5.19535046408328,5.99570322979619,5.85209865092971,6.06997738785632,5.46092388768595,5.90829329763061,7.43742100827711,7.65785305600924,7.31515312874524,10.2296384526452,8.92046461331761,10.4216843880272,10.2053768155652,7.73146071256043,8.35774157451173,9.31222437563792,8.65787529686095,9.06090731055788,9.3161139190923,8.91295977067445,9.18718629582136,8.41637176627866
Indonesia,IDN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,8.8956445383396,8.88201450667709,11.4527832534225,11.3303272454928,12.2533497281079,11.658850824691,11.622335395659,14.6193225513709,17.5810477395138,17.1638619042982,16.2439264156886,16.1502609810544,17.7295002531197,17.4956786796973,20.1033639844865,21.4517804490836,22.2766601981247,23.1861009068638,20.4488168282196,20.3034623063575,23.6096962763976,23.5125195396358,20.3646571620358,19.5934434193276
Malaysia,MYS,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,5.53758031585741,6.05516042749623,7.53552904853191,8.58615517161916,7.94827583767598,6.94073373967749,6.95528819610563,9.21811517882329,11.6466549526141,11.2133149546543,11.8765009571008,13.9722576246294,12.508536429862,10.9929116628435,11.1080855530972,10.834396580992,11.5485555147823,11.0280902450956,9.09018808926918,9.26829700741547,10.0728372932683,10.7900848091832,10.5883149872486,9.54179049585687
Thailand,THA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,14.420498526654,15.430892493832,14.5948435143321,14.0920567008612,12.9331040147095,11.6429383353433,11.2451127674636,11.5357427623601,13.2414155802981,14.5176646236942,12.8000114280553,13.7509233101618,13.3778535125007,12.851390710749,13.5651056192827,13.5284862630535,13.4665717636346,13.5699906674253,13.4797909824056,13.8607547496114,14.4508911519544,13.6377222766517,14.3970355275141,15.0565120386781
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
