Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2260657107953,30.4831399273522,30.4459829335051,30.7575708710936,31.5915760957203,32.1384618827057,32.2191850892757,32.1943447296182,32.7399677741119,32.9068109297165,34.3450560815081,34.3732843043373,34.4331120376958,34.6726704451298,34.6991265943562,38.7634300520449,38.8407942894887,38.8279627189274,38.7344502263671,39.5241027473527,39.4347683207361,39.4347683207361,39.2911951351024,39.2147376279795
Singapore,SGP,Agricultural land (% of land area),AG.LND.AGRI.ZS,1.7910447761194,1.7910447761194,1.77777777777778,1.16448326055313,1.1611030478955,1.10304789550073,1.0806916426513,1.15107913669065,1,1,1.05413105413105,1.03693181818182,1.03399433427762,0.947666195190948,0.930888575458392,0.930888575458392,0.930888575458392,0.926966292134832,0.92436974789916,0.921787709497207,0.919220055710306,0.919220055710306,0.919220055710306,0.919220055710306
Philippines,PHL,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6764932756481,37.5088037025858,37.3444679209847,37.6966160244156,38.4679880605024,38.082302042459,38.8369051212396,39.5412013281014,40.2790354495757,40.580876681088,40.580876681088,41.1174833148875,41.6876278632995,41.8184257302881,41.9156856826642,42.0129456350404,42.1102055874166,42.224234497099,42.3013717007077,42.3785089043163,42.455646107925,42.5361371029949,42.3925948284536,42.6689472448603
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.7643400679301,24.2026845001302,24.5222551675908,24.7885640571414,24.8373681438111,24.9394340083909,25.5208558741616,26.0490159620222,26.2043436045121,26.5727183586424,26.568260667402,27.0964207552627,27.0919630640223,27.3538142623324,27.5091419048223,27.6112077694021,27.8730589677122,27.7598939877572,28.411834447481,28.7503293442037,28.9649906072855,28.9558492042508,29.0073830174182,29.1258057551148
Malaysia,MYS,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.1191599452138,21.1444224623345,21.4198752092528,21.6595343174555,21.7065895601887,21.7148379242124,21.5346218231624,21.6320194795313,21.7635063156293,21.9753462182316,22.4906406939583,22.9207122203622,23.8295541013544,24.529904124182,24.6203013239994,26.0842185359915,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558
Thailand,THA,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.8565836089961,43.0386188807767,43.2206541525573,43.4026894243379,43.5847246961185,43.7667599678992,43.9487952396798,44.1288731429466,44.3109084147272,44.4929436865079,44.6749789582885,44.6828084323436,44.6906379063986,44.6989868660573,44.7102115915363,44.7180410655914,44.7102115915363,44.7199984341052,44.7174470042475,45.019475816712,45.5516837283955,45.9981600735971,45.9981600735971,43.7980778641195
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
